@relation mmcfeatures

@attribute mood {0,1}
@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute track_duration numeric
@attribute track_end_of_fade_in numeric
@attribute track_start_of_fade_out numeric
@attribute track_loudness numeric
@attribute track_tempo numeric
@attribute track_tempo_confidence numeric
@attribute track_time_signature numeric
@attribute track_time_signature_confidence numeric
@attribute track_key numeric
@attribute track_key_confidence numeric
@attribute track_mode numeric
@attribute track_mode_confidence numeric

@data
0,0.276,0.358,9,-7.684,1,0.0443,0.779,0.0000025,0.0728,0.13,81.977,175453,4,175.45333,0.13356,166.77152,-7.684,81.977,0,4,0.958,9,0.864,1,0.766
0,0.45,0.356,10,-13.692,0,0.0337,0.269,0.515,0.0944,0.0839,179.937,297320,4,297.32,3.65714,292.35664,-13.692,179.937,0.413,4,1,10,0.558,0,0.378
1,0.658,0.803,7,-3.742,1,0.258,0.244,0,0.201,0.471,96.808,233400,4,233.4,0,229.12871,-3.742,96.808,0.435,4,1,7,0.753,1,0.679
1,0.544,0.979,10,-4.713,1,0.0724,0.0311,0.14,0.291,0.577,101.929,194093,4,194.09333,0.09161,184.5522,-4.713,101.929,0.547,4,1,10,0.539,1,0.439
1,0.736,0.939,11,-2.812,0,0.284,0.0055,0,0.0905,0.761,132.07,219493,4,219.49333,0.43098,213.35075,-2.812,132.07,0.953,4,1,11,0.232,0,0.298
0,0.386,0.143,10,-16.521,1,0.0369,0.909,0.242,0.128,0.325,120.333,135800,4,135.8,4.55692,125.85215,-16.521,120.333,0.222,4,1,10,0.313,1,0.483
1,0.752,0.73,11,-3.897,0,0.0412,0.00272,0.0000362,0.175,0.769,120.032,218825,4,218.82485,0.18571,211.44671,-3.897,120.032,0.815,4,1,11,0.937,0,0.513
0,0.522,0.365,6,-8.372,0,0.0287,0.411,0,0.12,0.307,84.015,189627,4,189.62667,0.23147,180.14041,-8.372,84.015,0.003,4,0.996,6,0.733,0,0.781
1,0.671,0.916,6,-4.014,0,0.0397,0.0282,0.00762,0.24,0.803,126.01,189127,4,189.12653,0,170.39383,-4.014,126.01,0.861,4,1,6,0.324,0,0.637
0,0.168,0.302,6,-11.645,0,0.0344,0.315,0.79,0.11,0.205,102.041,356333,4,356.33333,0.07442,344.39837,-11.645,102.041,0.101,4,1,6,0.573,0,0.674
0,0.852,0.557,4,-6.533,0,0.0329,0.0618,0.00231,0.0897,0.876,116.144,237973,4,237.97333,0.08667,233.74367,-6.533,116.144,0.874,4,1,4,0.657,0,0.602
1,0.627,0.816,11,-10.361,0,0.0324,0.0984,0.000252,0.745,0.862,129.241,264000,4,264,4.05188,251.68109,-10.361,129.241,0.792,4,1,11,0.432,0,0.579
0,0.299,0.329,3,-10.096,1,0.0279,0.756,0.0105,0.0559,0.392,132.282,218187,4,218.18667,0.37147,213.13596,-10.096,132.282,0.146,4,0.406,3,0.389,1,0.783
1,0.72,0.802,1,-5.797,1,0.0582,0.0921,0,0.694,0.723,124.043,229360,4,229.36,0.20327,224.18286,-5.797,124.043,0.69,4,1,1,0,1,0.095
1,0.389,0.891,7,-4.617,1,0.0461,0.0000292,0.000168,0.574,0.688,142.302,163773,4,163.77333,0.06422,155.08608,-4.617,142.302,0.619,4,0.91,7,0.278,1,0.481
0,0.647,0.231,4,-12.732,0,0.0371,0.978,0.906,0.0882,0.211,105.05,209107,4,209.10667,0.28512,198.99501,-12.732,105.05,0.428,4,1,4,1,0,0.994
1,0.806,0.684,7,-5.46,1,0.125,0.116,0.00000132,0.131,0.684,119.902,201000,4,201,0,201,-5.46,119.902,0.289,4,1,7,0.668,1,0.571
0,0.446,0.452,2,-7.832,0,0.0288,0.326,0.0000768,0.293,0.351,169.922,130067,4,130.06667,0.55184,120.25615,-7.832,169.922,0.02,4,0.588,2,1,0,1
1,0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,196133,4,196.13333,0.2337,191.49497,-4.11,82.439,0.526,4,1,8,0.041,0,0.028
0,0.282,0.239,9,-13.853,0,0.0323,0.821,0.0432,0.114,0.0536,70.75,214573,1,214.57333,0.10045,203.66222,-13.853,70.75,0.207,1,0.039,9,0.434,0,0.508
1,0.706,0.868,6,-5.369,0,0.0423,0.0487,0.000579,0.0371,0.603,120.015,310133,4,310.13333,1.19615,293.38413,-5.369,120.015,0.734,4,0.978,6,0.674,0,0.623
0,0.636,0.107,5,-18.738,1,0.037,0.913,0.00123,0.103,0.31,82.641,339533,4,339.53333,0.18032,334.14676,-18.738,82.641,0.186,4,0.998,5,0.862,1,0.745
0,0.623,0.391,2,-11.652,0,0.0245,0.0802,0.706,0.122,0.33,95.08,290600,4,290.6,0.20934,278.18667,-11.652,95.08,0.741,4,0.972,2,0,0,0.03
